id|rank|symbol|name|supply|maxSupply|marketCapUsd|volumeUsd24Hr|priceUsd|changePercent24Hr|vwap24Hr|explorer
monero|28|XMR|Monero|18195289.7917385000000000||2742478291.3574641911764055|47504598.2041006514250125|150.7246283377512189|0.7515638160761639|149.8154042079408300|http://moneroblocks.info/
algorand|29|ALGO|Algorand|7062640323.9999670000000000|10000000000.0000000000000000|2474057807.2626250954372375|57542828.2143544374838211|0.3503021099425644|-1.1219209498458405|0.3569559832189773|https://algoexplorer.io/
near-protocol|30|NEAR|NEAR Protocol|818119979.0000000000000000|1000000000.0000000000000000|2436556521.0874573506214696|80877240.1280075121294370|2.9782386246888824|-4.8185384002311258|3.0456182793007542|https://explorer.nearprotocol.com/
bitcoin-cash|31|BCH|Bitcoin Cash|19217531.2500000000000000|21000000.0000000000000000|2331583952.3699491685117250|95802211.3834406990628269|121.3258832281045032|5.1497556830309916|115.1563092384905102|https://blockchair.com/bitcoin-cash/blocks
bitcoin-bep2|32|BTCB|Bitcoin BEP2|105402.9990338900000000||2159753646.4467968618561593|2272949854.1623263550555053|20490.4382820490326701|-0.4673838482066806|20476.9125060942292622|https://explorer.binance.org/asset/BTCB-1DE
quant|33|QNT|Quant|12072738.0000000000000000|14612493.0000000000000000|1938723099.6313267673835720|23127718.9184067144925893|160.5868610443899940|-2.7343189351108931|162.4876230350100512|https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
flow|34|FLOW|Flow|1036200000.0000000000000000||1709817061.4643753940800000|20544888.6215954563748790|1.6500840199424584|-1.9042231563078067|1.6482850986030578|https://flowscan.org/
vechain|35|VET|VeChain|72511146418.0000000000000000|86712634466.0000000000000000|1696248051.4070931382057510|14801269.7663405640589546|0.0233929283317195|-2.2910237729972944|0.0235600612562437|https://explore.veforge.com/
filecoin|36|FIL|Filecoin|312476428.0000000000000000||1664043881.9333166635193000|70973691.3806162952844098|5.3253421148724750|-2.5355727068089269|5.3723776057262355|https://protocol.ai
elrond-egld|37|EGLD|Elrond|23635714.0397445400000000|31415926.0000000000000000|1420525552.2820080832824750|25372909.7693087702044871|60.1008097277420537|1.6639346374967321|59.7508161889677684|https://explorer.elrond.com/
chiliz|38|CHZ|Chiliz|6006975364.5694970000000000|8888888888.0000000000000000|1386482634.3674317136635666|252911236.5210855170017899|0.2308121059635471|3.7065614041975684|0.2284020237334330|https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
internet-computer|39|ICP|Internet Computer|268962933.7701467000000000||1382247226.3902141286509684|12700387.4565768428613124|5.1391736661062381|-3.2929230873304575|5.2142131107066718|https://www.dfinityexplorer.org/#/
tezos|40|XTZ|Tezos|914659424.8822000000000000||1293479205.8408674343514070|11940487.1308648243211899|1.4141648472134380|-0.6724561435911309|1.4131083868885205|https://tzkt.io/
huobi-token|41|HT|Huobi Token|153357694.2544120800000000|500000000.0000000000000000|1277582714.2060649981582037|15862332.9964272391813110|8.3307376288966937|-3.1388018875948298|8.3253409144733766|https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
the-sandbox|42|SAND|The Sandbox|1499470108.2233226000000000|3000000000.0000000000000000|1242130969.4103109321978723|86400130.9740251256904584|0.8283799474216094|-6.1985750612789023|0.8648425689281623|https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
theta|43|THETA|THETA|1000000000.0000000000000000|1000000000.0000000000000000|1216857934.0551396000000000|30176280.9143117961300185|1.2168579340551396|2.9346507915864491|1.1985966663088676|https://explorer.thetatoken.org/
frax|44|FRAX|Frax|1211933897.5704530000000000||1207899642.8773129261796892|148794.6906202105443514|0.9966712254676369|0.0918777768794656|0.9902447914321246|https://etherscan.io/token/0x853d955acef822db058eb8505911ed77f175b99e
decentraland|45|MANA|Decentraland|1855084191.7804768000000000||1184682044.7157365663474972|29407115.7111307458538537|0.6386136273301428|-5.0244409210217724|0.6546971818319688|https://etherscan.io/token/decentraland
eos|46|EOS|EOS|1004794289.8495000000000000||1177191464.0441478760940575|80283703.6772611564111838|1.1715745958513258|1.5406448589347279|1.1464199069910260|https://bloks.io/
aave|47|AAVE|Aave|14093192.5805645900000000|16000000.0000000000000000|1176909604.6733565678525856|37793812.9809414150037815|83.5090841160000791|-2.4239008200184320|84.6289878271957096|https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
kucoin-token|48|KCS|KuCoin Token|98379860.9500000000000000|170118638.0000000000000000|993486724.2592682920377079|1246735.4926790958857377|10.0984766055340546|-0.8416407272339985|10.0936021967224797|https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
okb|49|OKB|OKB|60000000.0000000000000000||977215083.4683791460000000|1062302.2646524715675292|16.2869180578063191|-0.9861166436772669|16.4397308726369478|https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
bitcoin-sv|50|BSV|Bitcoin SV|19213289.1442390500000000|21000000.0000000000000000|939628979.4624074144172740|13132117.2418080167378990|48.9051599863185110|2.3946980630769202|47.4885059343157881|https://bsvexplorer.io/
paxos-standard|51|USDP|Pax Dollar|945642940.1100000000000000||933036940.0467693692045352|474392.4566638132831366|0.9866693870079924|0.7785802353099066||https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
hedera-hashgraph|52|HBAR|Hedera Hashgraph|14832756028.0000000000000000|50000000000.0000000000000000|885200578.5362058667356368|14613356.6755219098389862|0.0596787661622156|0.1140642203962645|0.0587429465996431|https://hash-hash.info/
axie-infinity|53|AXS|Axie Infinity|95821230.5246569200000000|270000000.0000000000000000|855801478.2340610954856435|13868687.8232399688547834|8.9312303082336692|-3.1338745505158783|9.0816929273381082|https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
maker|54|MKR|Maker|977631.0369508900000000|1005577.0000000000000000|848180971.2123933128354095|9726335.9288567021952985|867.5880154723448702|-3.4045220863044075|881.3152466168025208|https://etherscan.io/token/Maker
trueusd|55|TUSD|TrueUSD|820443768.2210990000000000||818068997.8450192612714440|15727295.9756964841858995|0.9971055050107471|0.0417829817226121|0.9989201042269827|https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
zcash|56|ZEC|Zcash|15611337.5000000000000000|21000000.0000000000000000|799393732.5492420745144350|42550965.9127022574452524|51.2059733862804564|-3.1883958048312472|50.5898433618654784|https://explorer.zcha.in/
klaytn|57|KLAY|Klaytn|3086297336.5491920000000000||756024887.9290891046195925|36233018.0311908005683139|0.2449617795978158|-4.9632166519971600|0.2522132033507948|https://scope.klaytn.com/blocks
ecash|58|XEC|eCash|19214304673303.0000000000000000|21000000000000.0000000000000000|718984118.8325948081907546|2208016.5063609605476379|0.0000374192108982|-2.3582745469514562|0.0000378383342370|https://explorer.bitcoinabc.org/
iota|59|MIOTA|IOTA|2779530283.0000000000000000|2779530283.0000000000000000|705743624.3612104860737815|3524179.4399980056497083|0.2539075140420805|-2.6791170688137007|0.2561471598535549|https://thetangle.org/
pancakeswap|60|CAKE|PancakeSwap|145736884.4758452500000000|750000000.0000000000000000|665586480.7014301734829022|12189189.5493877141814342|4.5670420573025625|-2.8372530969574330|4.6082177136589016|https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
neo|61|NEO|Neo|70538831.0000000000000000|100000000.0000000000000000|590982561.9385644176553619|8185775.4439988005737421|8.3781167558413949|-2.2899173254198530|8.4372952549777172|https://neotracker.io
helium|62|HNT|Helium|129598129.9127143000000000|223000000.0000000000000000|579583580.4438107951941542|6750051.9671647625867032|4.4721600599805446|11.7588570701301638|3.9118712870522747|https://explorer.helium.com/
synthetix-network-token|63|SNX|Synthetix|233716733.4900000000000000|212424133.0000000000000000|578989101.8643357031892239|28548566.5642590382867882|2.4773112871231739|-2.7445337493690698|2.5478599204518140|https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
fantom|64|FTM|Fantom|2545006273.0000000000000000|3175000000.0000000000000000|577036999.8880709046612511|32209402.7803962901753897|0.2267330363818207|-4.5728429861432242|0.2328403833055810|https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
the-graph|65|GRT|The Graph|6900000000.0000000000000000|10057044431.0000000000000000|567571692.1340950200000000|12349528.2535689690461182|0.0822567669759558|-4.6918742661218811|0.0834139404924131|https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
nexo|66|NEXO|Nexo|560000011.0000000000000000|1000000000.0000000000000000|556422505.1622725892821344|889893.6590537771088022|0.9936115968438304|-1.8390658175989597|1.0094321899955075|https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
pax-gold|67|PAXG|PAX Gold|325209.4810000000000000||534823193.4495978193214859|4207086.6133560322326866|1644.5498200269192623|0.4698426374298966|1638.4227794291701052|https://etherscan.io/token/0x45804880de22913dafe09f4980848ece6ecbaf78
thorchain|68|RUNE|THORChain|330688061.3344559700000000|500000000.0000000000000000|506887818.8090624968745173|28796005.6204171160356606|1.5328276949690032|-3.9289551500037307|1.5612864157940181|https://explorer.binance.org/asset/RUNE-B1A
gatetoken|69|GT|GateToken|108265076.6284058700000000||504145286.1484822699908225|2137707.8938248751632519|4.6565827305405332|-0.4620697733347950|4.6421533479119781|
mina|70|MINA|Mina|727661287.8400393000000000||495493043.7901975108474765|19636589.9282572106912600|0.6809391293317242|-4.2162023356506675|0.6904808213744413|https://minaexplorer.com/
basic-attention-token|71|BAT|Basic Attention Token|1495680554.4163349000000000|1500000000.0000000000000000|489876489.9852494008991601|40714036.8097920880075538|0.3275274847552028|9.6020729460608456|0.3207387783680313|https://etherscan.io/token/Bat
trust-wallet-token|72|TWT|Trust Wallet Token|416649900.0000000000000000|1000000000.0000000000000000|488552159.1134484350458500|3870064.3409829368748560|1.1725723661842915|-4.0269841989731557|1.2007212382099559|https://explorer.binance.org/asset/TWT-8C2
gemini-dollar|73|GUSD|Gemini Dollar|480097344.8000000000000000|0.0000000000000000|477640588.1736118408432800|2267841.4044782617544822|0.9948827948061000|0.2646650605011279|1.0351776031648564|https://etherscan.io/token/0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd
curve-dao-token|74|CRV|Curve DAO Token|531583334.4153923400000000|3303030299.0000000000000000|476822597.3329204750546045|11358667.4867604437326625|0.8969856021865417|0.7641553666989425|0.8943091260845802|https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
lido-dao|75|LDO|Lido DAO|312951153.9586575600000000|1000000000.0000000000000000|466678778.6489048289293572|3817023.1839637827123898|1.4912192294090581|-1.0208102976746258|1.4923198610190314|https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
wemix|76|WEMIX|WEMIX|318421502.0000000000000000|1053506980.0000000000000000|458770583.4499957487874542|27746691.1516292319585810|1.4407650883136521|14.3335817350312284|1.4170473589893852|https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
dash|77|DASH|Dash|10986468.4034289000000000|18900000.0000000000000000|458576029.4462468009482641|35108847.2418390508473000|41.7400763017826778|-1.5947418699709007|41.1808656543783614|https://explorer.dash.org
enjin-coin|78|ENJ|Enjin Coin|1000000000.0000000000000000|1000000000.0000000000000000|437316528.0619959000000000|8684499.9194890153269197|0.4373165280619959|-4.3161401610225515|0.4471035631775845|https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
